---
IAT at: e1000, size: 588, thunks: 145, is_terminated: 1, in_main: 1
---
e1000,72001dd0,dciman32.DCIEndAccess #8
e1004,72001740,dciman32.DCICreatePrimary #5
e1008,72001640,dciman32.DCIOpenProvider #10
e100c,72001720,dciman32.DCICloseProvider #2
e1010,72001e60,dciman32.DCIDestroy #6
e1014,72001b80,dciman32.DCIBeginAccess #1
e101c,71377e50,dxcore.#1
e1020,7699bb10,gdi32.ExtTextOutA #1500
e1024,76998720,gdi32.GetDeviceGammaRamp #1672
e1028,76995070,gdi32.DdQueryVisRgnUniqueness #1414
e102c,76995060,gdi32.DdNotifyFullscreenSpriteUpdate #1413
e1030,76995050,gdi32.DdDestroyFullscreenSprite #1355
e1034,76995040,gdi32.DdCreateFullscreenSprite #1354
e1038,7699ae90,gdi32.GetRgnBox #1738
e103c,76997d20,gdi32.GdiEntry15 #1555
e1040,76997d00,gdi32.GdiEntry14 #1554
e1044,76994690,gdi32.GdiEntry13 #1553
e1048,76997ce0,gdi32.GdiEntry12 #1552
e104c,76997cc0,gdi32.GdiEntry11 #1551
e1050,76997ca0,gdi32.GdiEntry10 #1550
e1054,76997e40,gdi32.GdiEntry8 #1564
e1058,76997e20,gdi32.GdiEntry7 #1563
e105c,76997e00,gdi32.GdiEntry6 #1562
e1060,76997de0,gdi32.GdiEntry5 #1561
e1064,76997dc0,gdi32.GdiEntry4 #1560
e1068,76997da0,gdi32.GdiEntry3 #1559
e106c,76997d80,gdi32.GdiEntry2 #1558
e1070,76997d60,gdi32.GdiEntry1 #1557
e1074,751b31d0,win32u.NtGdiDdDDIMarkDeviceAsError #285
e1078,713783b0,dxcore.#134
e107c,713782d0,dxcore.#133
e1080,751b3780,win32u.NtGdiDdDDIUpdateAllocationProperty #376
e1084,751b30e0,win32u.NtGdiDdDDIGetResourcePresentPrivateDriverData #270
e1088,751b34d0,win32u.NtGdiDdDDIReclaimAllocations2 #332
e108c,751b3710,win32u.NtGdiDdDDISubmitCommandToHwQueue #369
e1090,751b3700,win32u.NtGdiDdDDISubmitCommand #368
e1094,751b2d70,win32u.NtGdiDdDDICreateContextVirtual #215
e1098,751b2e60,win32u.NtGdiDdDDIDestroyAllocation2 #229
e109c,751b3790,win32u.NtGdiDdDDIUpdateGpuVirtualAddress #377
e10a0,751b2fc0,win32u.NtGdiDdDDIFreeGpuVirtualAddress #252
e10a4,751b3540,win32u.NtGdiDdDDIReserveGpuVirtualAddress #340
e10a8,751b31c0,win32u.NtGdiDdDDIMapGpuVirtualAddress #284
e10ac,751b3180,win32u.NtGdiDdDDIInvalidateCache #280
e10b0,751b3770,win32u.NtGdiDdDDIUnlock2 #374
e10b4,751b31a0,win32u.NtGdiDdDDILock2 #281
e10b8,751b2ef0,win32u.NtGdiDdDDIDestroyPagingQueue #239
e10bc,751b2e00,win32u.NtGdiDdDDICreatePagingQueue #224
e10c0,751b3720,win32u.NtGdiDdDDISubmitSignalSyncObjectsToHwQueue #370
e10c4,751b36f0,win32u.NtGdiDdDDISignalSynchronizationObjectFromGpu2 #366
e10c8,751b36e0,win32u.NtGdiDdDDISignalSynchronizationObjectFromGpu #367
e10cc,751b3730,win32u.NtGdiDdDDISubmitWaitForSyncObjectsToHwQueue #371
e10d0,751b37e0,win32u.NtGdiDdDDIWaitForSynchronizationObjectFromGpu #382
e10d4,751b36d0,win32u.NtGdiDdDDISignalSynchronizationObjectFromCpu #365
e10d8,751b37d0,win32u.NtGdiDdDDIWaitForSynchronizationObjectFromCpu #381
e10dc,751b2f80,win32u.NtGdiDdDDIEvict #248
e10e0,751b31b0,win32u.NtGdiDdDDIMakeResident #283
e10e4,751b3070,win32u.NtGdiDdDDIGetOverlayState #263
e10e8,751b3500,win32u.NtGdiDdDDIReleaseProcessVidPnSourceOwners #336
e10ec,751b36b0,win32u.NtGdiDdDDISharedPrimaryUnLockNotification #363
e10f0,751b36a0,win32u.NtGdiDdDDISharedPrimaryLockNotification #362
e10f4,713785e0,dxcore.#65
e10f8,751b37b0,win32u.NtGdiDdDDIWaitForIdle #379
e10fc,751b3100,win32u.NtGdiDdDDIGetScanLine #272
e1100,751b2e80,gdi32.D3DKMTDestroyDCFromMemory #1152
e1104,751b2d80,gdi32.D3DKMTCreateDCFromMemory #1132
e1108,751b3020,win32u.NtGdiDdDDIGetDeviceState #258
e110c,751b35b0,win32u.NtGdiDdDDISetGammaRamp #347
e1110,751b2ee0,win32u.NtGdiDdDDIDestroyOverlay #238
e1114,751b2fa0,win32u.NtGdiDdDDIFlipOverlay #250
e1118,751b37a0,win32u.NtGdiDdDDIUpdateOverlay #378
e111c,751b2df0,win32u.NtGdiDdDDICreateOverlay #223
e1120,71378560,dxcore.#40
e1124,751b2f70,win32u.NtGdiDdDDIEscape #247
e1128,751b3120,win32u.NtGdiDdDDIGetSharedPrimaryHandle #274
e112c,751b2d20,win32u.NtGdiDdDDICloseAdapter #210
e1130,769998b0,gdi32.D3DKMTOpenAdapterFromHdc #1232
e1134,751b3530,win32u.NtGdiDdDDIRender #339
e1138,751b2790,win32u.NtDxgkSubmitPresentToHwQueue #99
e113c,751b33a0,win32u.NtGdiDdDDIPresent #314
e1140,751b3760,win32u.NtGdiDdDDIUnlock #375
e1144,751b3190,win32u.NtGdiDdDDILock #282
e1148,751b33f0,win32u.NtGdiDdDDIQueryAdapterInfo #319
e114c,751b34c0,win32u.NtGdiDdDDIReclaimAllocations #333
e1150,751b3230,win32u.NtGdiDdDDIOfferAllocations #291
e1154,751b36c0,win32u.NtGdiDdDDISignalSynchronizationObject #364
e1158,751b37c0,win32u.NtGdiDdDDIWaitForSynchronizationObject #380
e115c,751b2e30,win32u.NtGdiDdDDICreateSynchronizationObject #227
e1160,713780d0,dxcore.#24
e1164,71378040,dxcore.#22
e1168,751b2f10,win32u.NtGdiDdDDIDestroySynchronizationObject #241
e116c,71377fc0,dxcore.#18
e1170,751b2eb0,win32u.NtGdiDdDDIDestroyHwQueue #235
e1174,751b2db0,win32u.NtGdiDdDDICreateHwQueue #219
e1178,751b2e70,win32u.NtGdiDdDDIDestroyContext #231
e117c,751b2d60,win32u.NtGdiDdDDICreateContext #214
e1180,751b2e90,win32u.NtGdiDdDDIDestroyDevice #233
e1184,751b2d90,win32u.NtGdiDdDDICreateDevice #217
e1188,751b3400,win32u.NtGdiDdDDIQueryAllocationResidency #320
e118c,751b3550,win32u.NtGdiDdDDISetAllocationPriority #341
e1190,751b2e50,win32u.NtGdiDdDDIDestroyAllocation #230
e1194,751b32d0,win32u.NtGdiDdDDIOpenResource #301
e1198,71377ef0,dxcore.#9
e119c,751b3470,win32u.NtGdiDdDDIQueryResourceInfo #327
e11a0,751b2d40,win32u.NtGdiDdDDICreateAllocation #212
e11a4,7699c7a0,gdi32.PatBlt #1814
e11a8,769958b0,gdi32.GdiTransparentBlt #1619
e11ac,76994ce0,gdi32.CreateSolidBrush #1105
e11b0,7699bd80,gdi32.GetClipBox #1658
e11b4,76994d10,gdi32.SelectClipRgn #1903
e11b8,769932e0,gdi32.CreateRectRgnIndirect #1099
e11bc,769948b0,gdi32.SetStretchBltMode #1948
e11c0,76994630,gdi32.GetStockObject #1739
e11c4,769949a0,gdi32.GetCurrentDpiInfo #1662
e11c8,76994ab0,gdi32.GetRegionData #1736
e11cc,76996840,gdi32.GetRandomRgn #1734
e11d0,769934b0,gdi32.CreateRectRgn #1098
e11d4,769989c0,gdi32.GetNearestColor #1714
e11d8,7699b440,gdi32.CreateDCA #1066
e11dc,7699c0f0,gdi32.GetObjectType #1720
e11e0,7699b260,gdi32.AnimatePalette #1025
e11e4,76998aa0,gdi32.GetSystemPaletteUse #1745
e11e8,76994870,gdi32.SetBkColor #1912
e11ec,769947d0,gdi32.StretchDIBits #1966
e11f0,76994b00,gdi32.BitBlt #1035
e11f4,76995a30,gdi32.SetDIBColorTable #1921
e11f8,7699c280,gdi32.GetSystemPaletteEntries #1744
e11fc,769946d0,gdi32.SelectObject #1905
e1200,769948f0,gdi32.CreateCompatibleDC #1065
e1204,7699b480,gdi32.CreateDIBSection #1070
e1208,76994950,gdi32.GetDIBits #1670
e120c,76994c60,gdi32.CreateCompatibleBitmap #1064
e1210,7699d240,gdi32.StretchBlt #1965
e1214,7699cc00,gdi32.RestoreDC #1849
e1218,7699ca70,gdi32.RealizePalette #1836
e121c,7699cd00,gdi32.SelectPalette #1906
e1220,7699cc90,gdi32.SaveDC #1856
e1224,76994770,gdi32.DeleteDC #1416
e1228,76993e70,gdi32.GetDeviceCaps #1671
e122c,76993ab0,gdi32.DeleteObject #1419
e1230,7699cbc0,gdi32.ResizePalette #1848
e1234,7699b630,gdi32.CreatePalette #1092
e1238,7699cf20,gdi32.SetPaletteEntries #1940
e123c,76999060,gdi32.SetSystemPaletteUse #1949
e1244,757905f0,user32.GetForegroundWindow #1851
e1248,7577b4c0,user32.ShowWindow #2409
e124c,75763630,user32.IsZoomed #2096
e1250,75777650,user32.SetTimer #2376
e1254,757eff00,user32.SystemParametersInfoA #2423
e1258,757d4200,user32.mouse_event #2499
e125c,757791c0,user32.SetForegroundWindow #2324
e1260,7577ac80,user32.OpenInputDesktop #2176
e1264,757e8160,user32.GetUserObjectInformationA #1976
e1268,7577a140,user32.CloseDesktop #1590
e126c,7577a8a0,user32.GetThreadDesktop #1965
e1270,757dd8c0,user32.GetLastActivePopup #1874
e1274,757d3910,user32.OpenClipboard #2172
