---
IAT at: 146c1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
146c1,7742a8f0,msvcrt._vwprintf_p #1033
---
IAT at: 6f7b1, size: 4, thunks: 1, is_terminated: 0, in_main: 0
---
6f7b1,75b70f00,combase.HSTRING_UserUnmarshal #387
---
IAT at: 80e38, size: 1558, thunks: 4f0, is_terminated: 1, in_main: 1
---
80e38,754b42e0,kernelbase.BaseDllFreeResourceId #97
80e3c,75552790,kernelbase.OpenRegKey #1157
80e40,754872f0,kernelbase.InternalLcidToName #7
80e44,75485d50,kernelbase.NlsIsUserDefaultLocale #1129
80e48,75546f80,kernelbase.GetPtrCalDataArray #772
80e4c,754a5da0,kernelbase.BaseDllMapResourceIdW #98
80e50,754a5f00,kernelbase.LocalUnlock #1095
80e54,755464f0,kernelbase.GetStringTypeA #810
80e58,754b10f0,kernel32.PackageIdFromFullName #1101
80e5c,75485f50,kernelbase.GetUserOverrideString #889
80e60,75546f40,kernelbase.GetPtrCalData #771
80e64,754815f0,kernelbase.Internal_EnumCalendarInfo #972
80e68,75549470,kernelbase.Internal_EnumLanguageGroupLocales #974
80e6c,75549700,kernelbase.Internal_EnumSystemCodePages #975
80e70,75549380,kernelbase.Internal_EnumDateFormats #973
80e74,7554a300,kernelbase.Internal_EnumUILanguages #979
80e78,75549920,kernelbase.Internal_EnumSystemLanguageGroups #976
80e7c,7548e850,kernelbase.NlsValidateLocale #1132
80e80,75480690,kernelbase.Internal_EnumTimeFormats #978
80e84,75482140,kernelbase.GetNamedLocaleHashNode #5
80e88,754865f0,kernelbase.GetUserOverrideWord #890
80e8c,75482ed0,kernelbase.GetLocaleInfoHelper #651
80e90,7549e640,kernelbase.lstrcmpW #2021
80e94,7548e230,kernelbase.lstrcmpiW #2024
80e98,7558eda0,kernelbase.SetFileApisToANSI #1634
80e9c,75494040,kernelbase.BaseGetNamedObjectDirectory #104
80ea0,75598660,kernelbase.CreateProcessAsUserA #245
80ea4,754ac920,kernelbase.LocalReAlloc #1092
80ea8,755986e0,kernelbase.CreateProcessInternalA #247
80eac,755a02a0,kernelbase.lstrcpyn #2025
80eb0,7558edd0,kernelbase.SetFileApisToOEM #1635
80eb4,75481580,kernelbase.GetCalendar #483
80eb8,754b1120,kernelbase.AppContainerLookupMoniker #59
80ebc,754afa50,kernelbase.AppXFreeMemory #71
80ec0,7553abf0,kernelbase.BasepNotifyTrackingService #113
80ec4,7553b390,kernelbase.MoveFileWithProgressTransactedW #1117
80ec8,75493f60,kernelbase.BasepAdjustObjectAttributesForPrivateNamespace #110
80ecc,75520a90,kernelbase.GetEightBitStringToUnicodeStringRoutine #585
80ed0,755471d0,kernelbase.GetStringTableEntry #809
80ed4,75545f10,kernelbase.CheckGroupPolicyEnabled #149
80ed8,75539940,kernelbase.CheckAllowDecryptedRemoteDestinationPolicy #148
80edc,75598a70,kernelbase.FatalAppExitW #398
80ee0,754a4c50,kernelbase.GlobalAlloc #908
80ee4,75591e20,kernelbase.PulseEvent #1365
80ee8,7559cbb0,kernelbase.NotifyMountMgr #1135
80eec,75598a10,kernelbase.FatalAppExitA #397
80ef0,75549290,kernelbase.EnumSystemLocalesEx #368
80ef4,75549270,kernelbase.EnumSystemLanguageGroupsW #366
80ef8,754adf00,kernelbase.Sleep #1732
80efc,7559f190,kernelbase.HeapSummary #930
80f00,75493a10,kernelbase.GetProcAddressForCaller #745
80f04,75487270,kernelbase.LCIDToLocaleName #1065
80f08,75547400,kernelbase.GetSystemDefaultLocaleName #818
80f0c,754a5fe0,kernelbase.MapViewOfFileExNuma #1112
80f10,7548d2a0,kernelbase.LocalAlloc #1086
80f14,75546ce0,kernelbase.GetEraNameCountedString #592
